Year|MainOustandingTaxLiab|SecondaryTaxLiab|ContestedTaxLiab|TotalTaxLiab|UncontestedTaxLiab|BudgetType|ID
2018|29513|70089|0|99602|99602|DateBudget|6556
2018|97235|127099|0|224334|224334|DateBudget|6557
2018|23075231|2168492|0|25243723|25243723|DateBudget|6558
2018|84880|24857|0|109737|109737|DateBudget|6559
2018|7488|22142|0|29630|29630|DateBudget|6560
2018|441159|950144|0|1391303|1391303|DateBudget|6561
2018|102234|5822|0|108056|108056|DateBudget|6562
2018|38951|120491|0|159442|159442|DateBudget|6563
2018|83049|49427|0|132476|132476|DateBudget|6564
2018|18551|940|0|19491|19491|DateBudget|6565
2018|104777|119494|0|224271|224271|DateBudget|6566
2018|1163631|2082480|0|3246111|3246111|DateBudget|6567
2018|104574|192743|0|297317|297317|DateBudget|6568
2018|417381|148925|0|566306|566306|DateBudget|6569
2018|27236|54136|0|81372|81372|DateBudget|6570
2018|26535|37533|0|64068|64068|DateBudget|6571
2018|32168|43027|0|75195|75195|DateBudget|6572
2018|106651|235940|0|342591|342591|DateBudget|6573
2018|145946|85472|0|231418|231418|DateBudget|6574
2018|15144|30195|0|45339|45339|DateBudget|6575
2018|31949|103322|0|135271|135271|DateBudget|6576
2018|59681735|13460046|0|73141781|73141781|DateBudget|6577
2018|51122|163783|0|214905|214905|DateBudget|6578
2018|50875|35850|0|86725|86725|DateBudget|6579
2018|1788474|576928|0|2365402|2365402|DateBudget|6580
2018|36198|81313|0|117511|117511|DateBudget|6581
2018|114768|23443|0|138211|138211|DateBudget|6582
2018|343901|261929|0|605830|605830|DateBudget|6583
2018|132386|16425|0|148811|148811|DateBudget|6584
2018|116017|157154|0|273171|273171|DateBudget|6585
2018|312970|317517|0|630487|630487|DateBudget|6586
2018|44762|101213|0|145975|145975|DateBudget|6587
2018|42486|106035|0|148521|148521|DateBudget|6588
2018|56664|67461|0|124125|124125|DateBudget|6589
2018|47105|20888|0|67993|67993|DateBudget|6590
2018|84910|38638|0|123548|123548|DateBudget|6591
2018|346568|115617|0|462185|462185|DateBudget|6592
2018|383214|159523|0|542737|542737|DateBudget|6593
2018|1761601|1396853|2052377|3158454|1106077|DateBudget|6594
2018|424256|140414|0|564670|564670|DateBudget|6595
2018|93035|30586|0|123621|123621|DateBudget|6596
