ID|FirstRegistrationAge|LastRegistrationAge|TotalNoRecords|AverageNoRecords
787|1|1|7|7
788|12|13|2|
789|2|2|14|14
790|12|13|1|
791|3|1|54|18
792|9|10|1|
793|12|6|15|2.1428571428571
794|9|1|67|7.4444444444444
795|6|7|5|
796|8|8|18|18
797|5|5|10|10
798|6|5|24|12
799|3|4|17|
800|4|1|33|8.25
801|4|1|99|24.75
802|7|3|62|12.4
803|4|5|6|
804|7|3|20|4
805|6|7|1|
806|5|6|17|
807|8|1|72|9
808|3|4|10|
809|6|7|6|
810|4|4|9|9
811|3|1|58|19.333333333333
812|12|7|32|5.3333333333333
813|3|3|14|14
814|7|2|184|30.666666666667
815|6|7|6|
816|10|3|12|1.5
817|7|1|116|16.571428571429
818|7|7|13|13
819|10|6|14|2.8
820|3|1|29|9.6666666666667
821|5|2|21|5.25
822|3|1|45|15
823|5|5|6|6
824|7|7|19|19
825|1|1|14|14
826|10|6|17|3.4
827|8|1|10|1.25
828|3|1|67|22.333333333333
829|8|8|6|6
830|7|7|8|8
831|9|9|3|3
832|3|4|7|
833|4|4|26|26
834|3|4|7|
835|10|11|1|
836|5|6|4|
837|9|1|15|1.6666666666667
838|7|8|4|
839|2|2|11|11
840|9|8|12|6
841|1|1|18|18
842|7|7|9|9
843|4|3|3|1.5
844|4|1|64|16
845|7|8|13|
846|6|5|31|15.5
847|9|5|11|2.2
848|7|6|17|8.5
849|1|2|1|
850|6|7|7|
851|1|1|25|25
852|10|1|55|5.5
853|12|13|1|
854|1|1|26|26
855|8|9|4|
856|8|2|83|11.857142857143
857|9|8|15|7.5
858|7|6|32|16
859|9|4|13|2.1666666666667
860|0|1|22|
861|4|5|8|
862|12|1|25|2.0833333333333
863|2|2|20|20
864|12|1|105|8.75
865|12|10|4|1.3333333333333
866|6|6|11|11
867|12|13|4|
868|8|9|1|
869|9|10|6|
870|5|5|8|8
871|7|4|34|8.5
872|6|6|18|18
873|2|2|32|32
874|12|8|7|1.4
875|12|9|13|3.25
876|3|4|5|
877|10|10|3|3
878|12|13|1|
879|10|9|6|3
880|12|13|1|
881|4|2|24|8
882|3|1|91|30.333333333333
883|5|5|6|6
884|10|11|1|
885|5|4|23|11.5
886|8|4|53|10.6
887|4|4|7|7
888|5|6|5|
889|10|8|9|3
890|10|11|1|
891|12|13|1|
892|5|5|5|5
893|9|7|6|2
894|9|9|4|4
895|5|5|10|10
896|6|6|4|4
897|8|8|12|12
898|8|9|1|
899|6|7|9|
900|12|13|1|
901|9|10|1|
902|4|4|6|6
903|7|4|28|7
904|9|9|5|5
905|1|1|42|42
906|5|1|150|30
907|5|1|28|5.6
908|9|6|4|1
909|7|8|13|
910|4|5|5|
911|12|13|1|
912|12|13|3|
913|12|13|4|
914|6|7|3|
915|12|13|2|
916|5|5|5|5
917|6|1|36|6
918|10|2|16|1.7777777777778
919|2|2|7|7
920|3|2|10|5
921|7|3|63|12.6
922|12|13|1|
923|1|1|32|32
924|6|6|9|9
925|5|3|54|18
926|0|1|7|
927|7|8|8|
928|5|6|6|
929|6|1|59|9.8333333333333
930|12|13|3|
931|4|4|7|7
932|6|1|105|17.5
933|1|1|19|19
934|8|7|12|6
935|10|1|164|16.4
936|7|7|12|12
937|12|7|10|1.6666666666667
938|5|1|51|10.2
939|10|10|2|2
940|12|8|3|0.6
941|0|1|8|
942|0|1|2|
943|4|5|5|
944|12|9|12|3
945|8|1|37|4.625
946|6|6|21|21
947|7|7|17|17
948|5|1|97|19.4
949|8|8|10|10
950|7|8|4|
951|6|7|9|
952|6|6|11|11
953|5|1|243|48.6
954|5|6|9|
955|12|4|23|2.5555555555556
956|4|5|6|
957|6|6|11|11
958|10|1|135|13.5
